노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,0,8,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,1,0,0,0,1,1,5,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,0,1,1,3,2,5,1,1,1,2,2,1,2,2,4,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,5,2,0,3,2,7,1,2,2,4,3,2,7,4,1,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,3,3,2,5,4,9,9,4,5,5,4,5,8,2,3,5,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,2,5,0,6,4,12,13,5,5,6,6,4,0,2,0,0,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,8,1,2,15,7,10,16,8,7,7,7,7,1,3,2,4,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,9,0,2,4,6,14,17,11,9,8,8,8,4,0,0,5,2,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,0,0,3,13,8,15,19,12,11,9,9,11,5,2,4,4,6,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,10,6,4,10,9,17,6,13,13,0,11,10,6,0,0,4,4,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,11,4,8,13,13,22,12,15,14,10,9,11,9,4,4,3,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,12,11,11,16,16,25,20,22,19,12,17,8,13,4,8,4,3,5,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,15,9,12,17,18,28,23,25,19,13,19,18,18,6,9,5,7,8,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,0,12,11,15,19,21,24,27,19,14,11,12,19,7,2,7,8,9,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,10,13,12,17,21,29,26,28,23,15,16,19,6,9,0,4,0,5,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,20,8,14,20,28,35,31,37,28,16,20,21,21,13,11,10,5,12,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,21,12,16,22,34,37,39,40,35,22,22,24,23,14,8,15,6,13,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,0,10,19,26,37,40,38,32,32,39,26,27,25,14,12,16,6,6,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,21,15,21,29,41,44,43,36,37,40,27,33,10,13,13,18,7,9,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,22,10,12,29,42,40,46,37,35,38,26,34,11,16,14,17,6,10,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,23,16,12,30,43,42,46,39,36,37,28,36,29,13,10,17,9,15,6,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,9,0,31,37,34,29,41,37,22,7,19,12,15,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,9,11,0,32,41,37,52,43,37,25,33,32,33,18,9,19,9,16,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,28,17,22,38,44,42,63,44,44,41,57,43,45,20,15,28,21,19,11,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,31,15,28,42,44,46,70,50,43,53,63,47,54,20,14,31,20,18,13,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,0,13,0,0,43,44,0,47,42,0,0,0,38,21,0,0,0,16,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,32,14,28,41,35,46,70,47,43,43,62,26,36,19,14,27,15,15,12,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,32,14,28,41,35,46,70,47,43,43,62,26,36,19,14,27,15,15,12,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,31,17,19,33,40,48,66,51,43,48,55,51,45,20,17,19,17,10,17,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,31,17,19,33,40,48,66,51,43,48,55,51,45,20,17,19,17,10,17,0,0,0,0,
