노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,1,3,1,2,0,1,4,1,2,1,4,1,1,0,0,0,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,1,1,1,1,1,0,8,2,1,1,2,4,2,3,1,1,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,3,1,3,0,0,6,2,1,0,3,1,5,6,3,2,2,3,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,2,3,3,4,2,1,7,1,2,2,4,4,3,7,0,0,3,1,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,4,7,6,5,7,1,1,3,3,1,3,0,6,2,0,2,1,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,5,10,7,7,10,3,2,2,4,5,5,0,2,0,3,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,6,13,8,9,12,2,11,4,5,3,1,6,4,6,0,3,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,7,13,16,10,13,3,3,5,2,2,6,7,7,0,3,2,1,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,8,16,21,11,11,5,5,0,6,1,6,7,5,2,4,0,0,0,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,8,14,22,13,14,7,7,6,0,6,0,0,0,6,0,0,2,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,13,21,29,17,15,9,11,12,7,3,4,8,7,7,3,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,16,30,44,23,17,10,13,14,8,5,4,10,5,6,3,2,4,3,2,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,19,32,38,27,18,14,14,15,6,6,6,9,4,7,2,3,6,3,1,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,21,34,44,28,19,8,16,10,5,4,8,12,8,8,5,0,7,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,24,36,34,33,21,16,17,16,8,7,6,12,0,7,5,4,0,4,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,29,39,50,41,23,18,19,19,8,7,10,14,9,10,7,3,9,5,4,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,33,40,56,43,29,21,10,20,11,9,12,16,10,11,4,6,11,6,5,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,34,44,59,44,25,15,22,19,12,10,10,11,17,12,9,5,3,0,1,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,37,43,65,50,29,22,23,22,13,13,9,17,19,14,6,0,3,5,2,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,38,39,68,56,30,25,25,22,11,12,11,15,11,0,4,3,3,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,21,40,69,57,31,26,13,19,12,10,12,16,20,15,10,6,1,5,7,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,41,24,37,30,27,11,0,8,0,0,0,0,14,0,7,0,0,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,39,35,69,60,30,18,26,22,22,11,17,24,22,25,7,11,13,5,8,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,40,44,70,68,35,31,35,32,31,20,25,34,30,32,27,22,18,11,10,9,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,40,44,70,68,42,36,38,33,31,21,27,36,31,36,28,21,21,12,9,6,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,0,41,43,42,38,34,0,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,0,43,69,66,39,33,35,26,27,20,26,35,28,29,27,9,17,11,0,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,0,43,69,66,39,33,35,26,27,20,26,35,28,29,27,9,17,11,0,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,0,43,69,66,39,33,35,26,27,20,26,35,28,29,27,9,17,11,0,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,0,43,69,66,39,33,35,26,27,20,26,35,28,29,27,9,17,11,0,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,39,43,68,63,36,31,33,29,26,18,22,34,24,27,27,16,13,15,10,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,39,43,68,63,36,31,33,29,26,18,22,34,24,27,27,16,13,15,10,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,32,학의JC(미정차),0,39,43,68,63,36,31,33,29,26,18,22,34,24,27,27,16,13,15,10,8,0,0,0,
