날짜,노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
2026-06-01,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,13,38,62,98,47,47,51,62,34,56,73,98,98,153,98,98,87,85,62,40,0,0,0
2026-06-02,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,7,16,69,62,76,27,47,44,51,89,64,89,122,98,93,98,93,98,96,89,33,0,0
2026-06-03,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,9,22,16,18,18,24,49,40,60,51,89,84,82,67,73,98,98,96,82,67,0,0,0
2026-06-04,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,31,56,71,84,49,88,73,42,51,56,89,96,98,98,98,87,84,67,32,0,0,0
2026-06-05,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,24,33,56,40,29,46,33,60,36,93,113,98,98,136,87,87,78,107,84,24,0,0
2026-06-06,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,13,29,17,31,31,42,51,40,47,98,87,84,89,98,89,153,98,97,99,62,0,0,0
2026-06-07,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,9,22,11,20,42,27,38,56,53,33,42,91,71,60,87,98,96,104,89,0,0,0,0
2026-06-08,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,18,62,61,82,23,53,42,31,51,53,84,98,124,102,77,98,93,44,14,0,0,0
2026-06-09,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,18,69,91,63,24,56,42,38,82,76,98,98,113,122,98,98,138,89,28,13,0,0
2026-06-10,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,16,64,73,38,27,60,36,36,40,64,93,98,122,102,98,104,151,89,33,0,0,0
2026-06-11,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,11,78,60,82,47,49,56,27,60,89,98,120,136,98,98,91,98,80,36,0,0,0
2026-06-12,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,18,47,73,64,38,61,89,62,73,89,94,133,153,98,91,149,97,96,42,0,0,0
2026-06-13,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,11,36,24,42,38,44,53,60,38,68,67,98,151,113,78,153,156,98,98,73,0,0,0
2026-06-14,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,9,20,7,18,23,22,27,33,53,62,56,84,73,78,98,98,140,84,38,0,0,0,0
2026-06-15,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,13,33,71,60,71,44,56,58,36,60,69,127,107,98,98,91,98,62,69,38,0,0,0
2026-06-16,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,38,42,51,42,49,42,53,36,47,56,104,104,98,98,127,93,98,89,46,0,0,0
2026-06-17,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,24,40,29,47,34,49,38,60,40,44,96,98,98,116,89,96,96,98,33,0,0,0
2026-06-18,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,18,36,53,35,31,42,40,40,62,60,62,98,98,97,98,89,96,98,96,71,0,0,0
2026-06-19,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,24,49,44,44,22,24,53,89,42,84,96,96,98,98,100,98,142,147,73,0,0,0
2026-06-20,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,13,27,11,29,29,25,38,64,29,69,56,98,70,71,78,98,96,97,151,78,0,0,0
2026-06-21,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,31,22,11,20,22,29,33,40,44,38,89,84,91,87,98,98,98,98,87,0,0,0,0
2026-06-22,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,31,53,56,42,38,27,51,47,54,73,96,98,120,98,89,98,87,82,64,0,0,0
2026-06-23,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,18,40,40,24,36,29,31,57,36,93,78,98,136,98,96,100,153,98,29,0,0,0
2026-06-24,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,7,20,22,53,27,36,38,36,38,47,69,98,156,98,98,98,104,98,98,47,0,0,0
2026-06-25,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,7,18,49,56,36,27,29,27,63,53,55,98,140,133,98,104,98,96,82,30,0,0,0
2026-06-26,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,7,15,37,41,38,22,56,34,38,53,96,98,98,99,98,68,98,98,98,76,33,0,0
2026-06-27,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,16,18,17,32,32,27,46,30,49,80,66,93,98,93,98,96,98,99,93,60,0,0,0
2026-06-28,7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,31,18,15,17,16,18,24,24,51,44,63,90,98,62,78,98,98,96,71,46,0,0,0
